#{"t_start": 1602658283.3454275, "env_id": "Ant-v2"}
r,l,t
1801.514352,1000,7625.075853
1882.053337,1000,7637.73235
1823.055636,1000,7649.840885
1764.735509,1000,7662.128392
1711.861882,1000,7682.531646
1719.713875,1000,7695.27435
1799.011986,1000,7708.107887
1847.690858,1000,7720.854214
866.891657,494,7726.769005
1769.831418,1000,7739.206156
347.108606,202,7741.780652
1704.265342,1000,7754.629202
1773.295605,1000,7767.356659
1834.368943,1000,7780.208984
1791.562647,973,7792.661399
1353.897225,748,7802.241244
1806.774278,1000,7819.85443
1866.697679,1000,7831.885662
1751.946637,1000,7844.6724
1792.572177,1000,7857.434998
1878.638297,1000,7870.222625
1724.038118,1000,7883.002123
-680.341023,1000,7895.815028
1875.350773,1000,7908.506284
1876.916221,1000,7921.295187
1824.98359,1000,7933.735181
1839.002772,1000,7952.881994
1823.747926,993,7965.583155
1866.569819,1000,7978.266002
1842.194541,1000,7989.913455
1855.878991,1000,8002.700455
1861.688173,1000,8015.490495
1816.732419,1000,8028.286611
1829.83651,1000,8040.521394
1847.244184,1000,8053.286513
1632.237728,889,8064.692673
1836.043285,1000,8085.133457
1857.640018,1000,8097.83876
1410.329878,764,8107.535703
1893.274094,1000,8120.361749
1768.94945,1000,8133.16658
1828.366947,1000,8144.885579
1895.295234,1000,8155.932065
1823.787507,1000,8168.66884
1871.009338,1000,8181.446868
1879.922923,1000,8194.288871
27.368551,22,8194.566293
1856.694346,1000,8214.207181
1859.208255,1000,8226.987245
991.533835,536,8233.822094
-297.256033,1000,8245.788122
826.185512,451,8251.534575
1893.242058,1000,8264.234935
123.603682,77,8265.208732
1755.400171,1000,8277.993204
1903.558642,1000,8290.742625
1904.077042,1000,8303.559441
1904.400167,1000,8315.557945
1871.197483,1000,8327.774908
1866.970366,1000,8346.155962
1853.813908,1000,8358.93834
1926.919221,1000,8371.690909
1809.897564,1000,8384.507103
1870.291921,1000,8397.201905
1822.197776,1000,8409.979563
1875.178276,1000,8422.764725
1852.210797,1000,8435.535359
1870.060213,1000,8447.97807
1833.860069,1000,8460.162066
1828.670823,1000,8479.020711
1864.567792,1000,8490.796185
1821.902824,1000,8503.568616
1787.995335,1000,8516.329282
1870.335092,1000,8529.105041
1928.270298,1000,8541.823333
1817.308493,1000,8553.937463
1917.370002,1000,8566.669592
1814.764833,1000,8579.42605
1918.456706,1000,8592.214161
1869.971327,1000,8612.669314
1248.340664,645,8620.908666
1711.608453,1000,8633.701087
1880.364172,1000,8645.998025
1913.245219,1000,8657.840734
1913.2586,1000,8670.650069
389.724715,206,8673.298088
1811.707001,1000,8686.022426
1900.603991,1000,8698.777001
1868.902605,1000,8711.531603
1883.616076,1000,8724.285136
1979.611725,1000,8742.006746
2008.566919,1000,8754.761255
1039.231786,533,8761.003253
1815.956303,1000,8773.753856
1920.710324,1000,8786.499463
1705.681415,909,8798.11518
1834.538463,1000,8810.540853
2002.842695,1000,8822.236936
1941.962741,1000,8835.006253
1807.15971,1000,8847.808481
1980.54245,1000,8860.271663
1873.541792,1000,8879.573434
1898.262643,1000,8892.334538
1874.740717,1000,8905.152167
1858.804673,1000,8917.961797
1882.471555,1000,8930.721936
1942.09227,1000,8943.449676
1850.685353,1000,8956.249022
1943.675224,1000,8967.957725
1997.178587,1000,8979.455852
1909.502195,1000,8991.296963
1820.646691,1000,9011.442785
1826.379042,946,9023.529802
633.497332,320,9027.61575
1997.006171,1000,9040.410943
1871.359812,1000,9053.169375
1472.930802,791,9063.221116
1143.855692,635,9070.527927
1828.053269,1000,9083.250013
290.768676,169,9085.396203
1924.368331,1000,9098.144896
332.6994,166,9100.263045
1922.630967,968,9112.596408
407.136853,202,9115.171601
1932.261559,1000,9135.606093
1988.697329,1000,9147.490614
1875.490604,1000,9160.288376
1962.810355,1000,9172.548517
550.164386,280,9176.121456
489.089153,250,9179.301423
1896.53834,1000,9192.074715
179.594834,101,9193.363955
773.275308,435,9198.960608
1864.628478,1000,9211.727678
81.621544,58,9212.450219
1826.521297,1000,9225.184811
1846.851666,1000,9237.934805
1995.856628,1000,9250.724116
1490.188754,779,9268.308041
1849.309627,1000,9279.985619
390.076173,202,9282.570591
256.549115,142,9284.368255
1863.302111,1000,9297.060247
1999.510307,1000,9309.23737
1360.236939,693,9316.415547
859.212404,445,9322.1144
1927.689517,1000,9334.835495
1784.786958,913,9346.471593
1875.650515,1000,9359.207056
1878.038447,1000,9372.008999
1942.119693,1000,9383.683282
1969.467533,1000,9403.539557
2053.694198,1000,9416.22596
1909.104377,1000,9428.997991
2030.093108,1000,9441.781262
1930.0115,1000,9454.523375
1980.892994,1000,9467.248011
1897.027369,1000,9479.417228
1880.5794,1000,9491.506246
1502.6276,804,9501.666857
1950.031797,1000,9514.395261
1824.326097,1000,9534.888251
1916.078178,1000,9547.599656
1926.268763,1000,9560.383409
1960.045465,1000,9573.230055
2041.918292,1000,9585.632364
1059.340063,541,9592.508025
1881.592095,1000,9605.277125
720.983691,367,9609.94453
251.034991,141,9611.745495
1981.483919,1000,9624.490751
2010.349823,1000,9637.286093
2010.018701,1000,9648.569832
1930.604781,1000,9665.295384
2062.690782,1000,9678.07518
229.35466,129,9679.707944
2050.461897,1000,9691.932735
1755.420549,873,9703.028512
302.090609,173,9705.220445
334.377593,189,9707.621965
1987.333695,1000,9720.373594
944.769199,497,9726.713266
609.690612,358,9731.259011
562.658598,284,9734.861717
1891.455117,1000,9747.62788
1890.398954,1000,9760.315752
1930.72601,1000,9773.033349
1912.606965,1000,9785.586505
1955.459192,1000,9804.509702
1878.831182,966,9816.08358
2008.334773,1000,9828.364182
1987.984896,1000,9841.100575
1989.580546,1000,9853.862206
2006.352214,1000,9866.640629
188.527992,107,9868.038521
1842.697597,1000,9880.828962
1869.093616,1000,9892.484685
1845.698255,1000,9905.21029
1910.012257,1000,9917.937468
2002.844091,1000,9936.897683
1962.203838,1000,9949.708626
1940.39116,1000,9962.424247
1916.714595,1000,9975.209146
457.792025,244,9978.37569
262.772198,129,9979.887086
1989.409994,1000,9990.178572
2047.386451,1000,10001.920111
2089.854286,1000,10014.642247
1454.313473,739,10024.099912
1884.666451,1000,10036.803148
1889.460235,1000,10057.207802
1874.415043,1000,10069.98506
1867.482295,1000,10082.665352
1892.958352,1000,10095.198776
1810.275126,1000,10107.476953
1841.556224,1000,10120.20141
387.909809,188,10122.574727
1497.652842,755,10132.255773
2023.540511,1000,10144.998557
2090.699415,1000,10156.006552
1975.712701,1000,10168.275723
1934.21599,1000,10181.034443
484.740958,268,10190.816943
168.926777,126,10192.42813
1895.730118,1000,10204.506285
1833.674811,942,10216.478037
1938.794948,1000,10229.212291
842.103255,421,10234.618351
213.323806,120,10236.157753
158.73293,98,10237.400352
1957.670855,1000,10250.164224
1901.711666,1000,10262.880971
1834.105059,894,10274.277637
1222.01309,641,10282.450467
1135.859879,554,10289.551404
2053.042933,1000,10301.887869
1975.844033,1000,10320.980218
2101.728824,1000,10332.322366
1992.103263,1000,10345.115996
1983.104852,1000,10357.916036
2128.990378,1000,10370.70534
657.902286,330,10374.904747
613.368833,322,10379.006905
1946.938978,1000,10391.712007
1326.519534,678,10400.375053
1985.615316,1000,10412.581621
1548.86389,735,10421.919212
2051.438549,1000,10434.685432
2051.743282,1000,10455.057975
2072.490958,1000,10467.777599
2019.559115,1000,10480.528283
1750.897644,908,10491.193542
2012.526461,1000,10503.33793
2049.230294,1000,10515.716716
1926.735106,1000,10528.487806
483.223939,233,10531.452076
1980.069394,1000,10544.186558
2135.118957,1000,10556.947184
1986.488171,1000,10569.643662
2052.594626,1000,10589.467202
773.199837,383,10594.379457
1639.683415,832,10604.959022
1373.027344,681,10613.227873
2018.657368,1000,10625.883023
1970.727473,1000,10638.627185
2056.581121,1000,10651.316082
17.380844,21,10651.578449
1147.393269,585,10658.173454
2002.605402,1000,10670.476062
28.724694,22,10670.766582
2016.107394,1000,10683.431928
1980.266076,1000,10696.217844
1965.771474,1000,10708.564624
1995.713688,1000,10728.618968
1985.283502,1000,10741.327793
132.805793,95,10742.596192
584.103042,287,10746.238853
1226.533762,622,10754.190156
1961.186856,1000,10766.923743
1980.335073,1000,10779.690511
935.711909,474,10785.722085
2093.7909,1000,10798.470625
1099.286566,555,10805.538437
2004.744665,1000,10817.932732
927.056944,464,10823.341322
2100.231514,1000,10834.646249
