verbose,N_E_traj,add_history,RL_expert_folder,N_agg_iter,N_epoch,total_opt_steps,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,loss_test,loss_train,final,class_test,runtime,partial_obs,result_path,reward_std,results_path,render_final,best_ind
0,10,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,894,1.0,1.0,893.9999999999999,-87.7,5.518449783325195,0.03280061110854149,True,0.09987669438123704,0.8974527041117351,,,,,,
0,40,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,3381,1.0,1.0,3381.0,-83.8,0.785115659236908,0.7837963700294495,True,0.0,0.005753930409749349,,,,,,
0,40,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Random,Acrobot-v1,3381,1.0,1.0,3381.0,-500.0,1.1184420585632324,1.131670594215393,True,0.6794081330299377,0.010623280207316082,,,,,,
0,40,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,3381,1.0,1.0,3381.0,-81.25,0.3250674605369568,0.2226669937372208,False,0.10110974311828612,0.18857165972391765,,,,,,
0,40,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,3381,1.0,1.0,3381.0,-95.825,0.3193008601665497,0.2265505194664001,False,0.09617755562067032,0.3828160762786865,,,,,,
0,40,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,3381,1.0,1.0,3381.0,-86.675,0.3617861866950989,0.28069445490837097,False,0.0924784243106842,0.5763049125671387,,,,,,
0,40,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,3381,1.0,1.0,3381.0,-85.025,0.3187500834465027,0.2355542927980423,False,0.09371146559715272,0.7697286645571391,,,,,,
0,40,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,3381,1.0,1.0,3381.0,-81.3,0.3503122329711914,0.2143250256776809,True,0.0912453755736351,0.9402835607528688,,,,,,
0,40,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,3381,1.0,1.0,3381.0,-81.4,0.3756363987922669,0.2267365455627441,False,0.09741060435771942,0.20275150934855146,,,,,,
0,40,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,3381,1.0,1.0,3381.0,-82.575,0.35925722122192383,0.19010265171527865,False,0.09741060435771942,0.4056830724080404,,,,,,
0,40,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,3381,1.0,1.0,3381.0,-83.45,0.3846636116504669,0.19812744855880726,False,0.08508014678955078,0.6098749041557312,,,,,,
