verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,random_demos,RL_expert_folder,RL_expert_load_best,learning_rate,H_dims,loss_function,partial_obs,results_path,render_final,kill_feats,pair_E_s0,run_seed,opt_seed,density_ratio_feature_map,adversary_feature_map,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_algo,T_max,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,reward_std,loss_test,loss_train,final,class_test,runtime,best_ind,model_reg_coeff
4,2000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,18.531586080522747,0.5009945584032043,10649.491590001817,-338.9135671104018,261.1935372020712,0.35125288367271423,0.22269266843795776,False,0.35125288367271423,2.4109901785850525,1,
4,3000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,21.909933408459434,0.3343531436452802,5709.796996157925,-95.59473382965069,729.2657917190163,0.33938929438591003,0.16258886456489566,False,0.33938929438591003,3.665310823917389,2,
4,4000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,23.8023233860459,0.25117190709768183,3703.5947499439626,-647.7663841452268,412.8115757055732,0.3447714149951935,0.13666753470897675,False,0.3447714149951935,4.9354329784711215,3,
4,5000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,25.16216467052465,0.20123049886530567,2706.3187497404747,285.45988968230887,801.733393086005,0.3470114767551422,0.1195782944560051,False,0.3470114767551422,6.103796593348185,4,
4,6000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,28.113838815330038,0.16805690312000554,1859.8144675295368,29.595212457123193,515.6690842331542,0.3534586429595947,0.10831291973590852,False,0.3534586429595947,7.311981213092804,5,
4,7000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,30.94101017812893,0.1443534696105559,1410.1540664422573,58.19367138682559,552.3920330261202,0.3659411072731018,0.11037299036979677,False,0.3659411072731018,8.546000373363494,6,
4,8000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,35.159863753205364,0.12656913726198146,1116.446980991881,44.42942339604426,530.8756637065742,0.3851679563522339,0.11671970784664155,False,0.3851679563522339,9.824299569924671,7,
4,9000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,38.88043592961073,0.1127260356757736,952.837921226954,-111.83617147651957,513.5350156942193,0.3697053492069245,0.11883421242237092,False,0.3697053492069245,11.11014757156372,8,
4,10000000,10,25,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,25000,42.3935864208006,0.10163454363815086,837.3306647669667,-38.38820608910269,788.1002809132448,0.376920610666275,0.11113659292459488,True,0.376920610666275,12.769803869724276,9,
4,10000000,10,50,False,1,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,,,False,50,50,128,False,True,,,False,,1,,,BC,HalfCheetah-v2,50000,1.0,1.0,50000.0,-391.21558778387015,382.137674434748,0.2825177013874054,0.27578818798065186,True,0.2825177013874054,8.981657580534616,0,
